Week End,Season,Measure,Age Group,Race/Ethnicity,Sex,Population Size,Count,Percent
09/16/2023,2023-2024,UpToDate_2023_2024,All Ages,"White, non-Latinx",Unknown,,1,
09/23/2023,2023-2024,UpToDate_2023_2024,05-11 yrs,"Black, non-Latinx",All Sexes,66473,6,0.0
09/30/2023,2023-2024,UpToDate_2023_2024,All Ages,"Asian, non-Latinx",Male,91422,1696,0.0
09/30/2023,2023-2024,UpToDate_2023_2024,All Ages,Latinx,Unknown,,3,
10/07/2023,2023-2024,UpToDate_2023_2024,All Ages,Latinx,Unknown,,6,
09/16/2023,2023-2024,UpToDate_2023_2024,30-49 yrs,"Other, non-Latinx",All Sexes,25569,27,0.0
09/30/2023,2023-2024,UpToDate_2023_2024,05-11 yrs,"Black, non-Latinx",All Sexes,66473,21,0.0
05/04/2024,2023-2024,UpToDate_2023_2024,All Ages,"Black, non-Latinx",Unknown,,142,
10/21/2023,2023-2024,UpToDate_2023_2024,0-4 yrs,"Other, non-Latinx",All Sexes,8900,157,0.0
09/23/2023,2023-2024,UpToDate_2023_2024,All Ages,"White, non-Latinx",Unknown,,5,
09/30/2023,2023-2024,UpToDate_2023_2024,05-11 yrs,Latinx,All Sexes,85789,44,0.0
10/07/2023,2023-2024,UpToDate_2023_2024,05-11 yrs,"Black, non-Latinx",All Sexes,66473,68,0.0
10/07/2023,2023-2024,UpToDate_2023_2024,05-11 yrs,Unknown,All Sexes,,45,
09/16/2023,2023-2024,UpToDate_2023_2024,All Ages,"Black, non-Latinx",Male,358383,30,0.0
09/30/2023,2023-2024,UpToDate_2023_2024,12-17 yrs,"Black, non-Latinx",All Sexes,59709,54,0.0
09/30/2023,2023-2024,UpToDate_2023_2024,05-11 yrs,"Other, non-Latinx",All Sexes,9113,32,0.0
09/16/2023,2023-2024,UpToDate_2023_2024,30-49 yrs,Latinx,All Sexes,241705,23,0.0
09/16/2023,2023-2024,UpToDate_2023_2024,All Ages,"Black, non-Latinx",All Sexes,787551,69,0.0
09/16/2023,2023-2024,UpToDate_2023_2024,18-29 yrs,"Asian, non-Latinx",All Sexes,47111,15,0.0
09/23/2023,2023-2024,UpToDate_2023_2024,12-17 yrs,"Black, non-Latinx",All Sexes,59709,30,0.0
09/16/2023,2023-2024,UpToDate_2023_2024,50-64 yrs,"Black, non-Latinx",All Sexes,158402,20,0.0
10/07/2023,2023-2024,UpToDate_2023_2024,05-11 yrs,Latinx,All Sexes,85789,128,0.0
10/07/2023,2023-2024,UpToDate_2023_2024,05-11 yrs,"Other, non-Latinx",All Sexes,9113,78,0.0
09/16/2023,2023-2024,UpToDate_2023_2024,12-17 yrs,All Race/Ethnicities,All Sexes,185590,13,0.0
09/23/2023,2023-2024,UpToDate_2023_2024,12-17 yrs,"White, non-Latinx",All Sexes,28798,169,0.0
10/07/2023,2023-2024,UpToDate_2023_2024,All Ages,"Other, non-Latinx",Unknown,,10,
10/21/2023,2023-2024,UpToDate_2023_2024,12-17 yrs,"Black, non-Latinx",All Sexes,59709,352,0.0
11/04/2023,2023-2024,UpToDate_2023_2024,12-17 yrs,"Black, non-Latinx",All Sexes,59709,556,0.0
09/30/2023,2023-2024,UpToDate_2023_2024,12-17 yrs,Latinx,All Sexes,82791,102,0.0
12/02/2023,2023-2024,UpToDate_2023_2024,12-17 yrs,"Black, non-Latinx",All Sexes,59709,1028,0.0
10/07/2023,2023-2024,UpToDate_2023_2024,12-17 yrs,"Black, non-Latinx",All Sexes,59709,121,0.0
09/16/2023,2023-2024,UpToDate_2023_2024,12-17 yrs,Latinx,All Sexes,82791,3,0.0
